Proposal commitment,Final implementation,Status,Evidence,Justification
Central research question: can stylometric and lexical features distinguish AI-generated from other credential-harvesting phishing,Retained. The final study measures the same question against real-world Nazario phishing rather than verified human-written phishing,Fulfilled with justified refinement,"Dissertation title, aim and Chapter 1; Chapters 6-7","The Nazario corpus is hand-classified as phishing but not verified for authorship, so the class is labelled 'real-world' to match the evidence"
Single attack type: credential-harvesting emails,"Enforced by a documented, reproducible two-condition screen applied identically to both sources",Fulfilled with justified refinement,scripts/build_corpus.py; Table B.1; 167 real-world and 306 AI messages excluded by the screen,"The proposal asserted the scope; the final study evidences it and audits the screen, reporting exploratory precision and recall"
Balanced binary corpus,"982 messages, 491 per class, exact duplicates removed before splitting",Fulfilled,data/corpus_summary.json; Table B.1; validation checks 1-2,Balanced by seeded down-sampling of the larger class
LLM phishing generated locally from a single model family under controlled prompts,Replaced by the published Eze and Shamir (2024) dataset produced via the DeepAI text-generation service,Fulfilled with justified refinement,"Sections 3.2, 3.7 and 7.3; Table B.2 provenance and checksums","Removes the dual-use hazard of generating new attack content and makes the corpus citable and reproducible; the exact underlying model is not established by the source, which is disclosed as a limitation"
Human-written phishing drawn from established public corpora,"Nazario phishing corpus 2022-2024 under CC BY 4.0, relabelled 'real-world phishing'",Fulfilled with justified refinement,Section 3.2; Table B.2; Nazario reference entry,"Authorship is not independently verified and the archives overlap public LLM availability, so no human-authorship claim is made"
Stylometric and lexical feature extraction,"95 interpretable features in six groups, standard library and numpy only",Fulfilled,src/features.py; Table 4.1,"Perplexity was not used because it requires access to a generating model, which the defender scenario excludes"
Random Forest classifier,Trained with five-fold cross-validated grid search; test F1 0.973,Fulfilled,results/results.json; Table 6.1,
XGBoost classifier,Trained with five-fold cross-validated grid search; test F1 0.980,Fulfilled,results/results.json; Table 6.1,
Fine-tuned transformer comparison baseline,Not implemented,Removed under proposal contingency,Section 5.6; src/train.py documents the unused entry point,The proposal named the transformer as the first item to cut if compute ran short; effort moved to corpus validity and robustness testing
"Evaluate precision, recall and F1 on a held-out test set","Reported for all three classifiers, with accuracy, ROC-AUC and percentile bootstrap 95% confidence intervals",Expanded beyond proposal,Table 6.1; validation checks recompute every metric from the confusion matrices,Confidence intervals and a logistic-regression floor were added beyond the proposal's metric list
Held-out F1 of at least 0.90,"Met by every classifier: logistic 0.987, XGBoost 0.980, Random Forest 0.973",Fulfilled,Table 6.1,"Target was pre-specified in the approved proposal, not formally preregistered, and is described as such"
Rank feature importance to identify discriminative stylistic markers,"Impurity and permutation rankings both reported, with their rank agreement (7 shared features, Spearman rho = 0.00)",Expanded beyond proposal,Tables 6.2-6.3; results/impurity_importance.csv; results/permutation_importance.csv,Two methods are reported rather than one because they disagree on ordering
Reproducible pipeline,"Seed-fixed end-to-end scripts, source checksums, per-stage corpus funnel and an automated alignment validator",Expanded beyond proposal,Appendix A; results/final_alignment_validation.json,"Robustness analyses added beyond the proposal: structural-cue ablation, similarity-cluster grouped partition and a 2022-only sensitivity check (grouped test n = 149, 2022 test n = 26)"
Dual-use safeguards and ethical handling,"No message sent, no new phishing generated, no raw phishing text published, encrypted storage, deletion at project end",Fulfilled,Section 3.6; repository .gitignore excludes data/raw and the audit sample,Switching to a published corpus reduced the dual-use footprint relative to the proposal
Two-week project timeline with supervisor checkpoints,"Delivered; effort shifted from the transformer baseline to corpus screening, auditing and robustness testing",Fulfilled with justified refinement,Section 7.4,Corpus construction became the critical path once the screen defect was found and corrected

Overall alignment conclusion,"The dissertation remains aligned with the proposal's central topic, attack scope, stylometric methodology, primary classifiers, evaluation target and interpretability deliverable. The use of a published AI-generated dataset, relabelling of the Nazario class and omission of the transformer are disclosed methodological refinements rather than a change of topic.",,,
